movie_id,title,similarity_score
1165,Big Bully (1996),0.7462412071849218
964,"Month by the Lake, A (1995)",0.7462412071849218
1588,Salut cousin! (1996),0.7462412071849218
1457,Love Is All There Is (1996),0.7462412071849218
1460,Sleepover (1995),0.7462412071849218
1475,Bhaji on the Beach (1993),0.7462412071849218
1170,Spanking the Monkey (1994),0.7462412071849218
1465,Last Summer in the Hamptons (1995),0.7462412071849218
1296,Indian Summer (1996),0.7462412071849218
345,Deconstructing Harry (1997),0.7462412071849218
